Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,dualis.lingerie
Nome da loja,Dualis Lingerie
ID da Loja,1655426347
Data de Criação do Relatório,30/08/2026 21:02
Período,01/06/2026 - 30/06/2026

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Adicionar ao carrinho,Taxa de adição ao carrinho,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto,Voucher Amount,Vouchered Sales
1,GMV Max da Loja,Em Andamento,,-,-,Lance automático do GMV Max da Loja,Todos,10/04/2026 00:00:00,Ilimitado,27487,567,2.06%,-,-,14,13,2.47%,2.29%,4.93,5.31,14,13,320.50,293.50,69.01,4.64,4.25,21.53%,23.51%,-,-,-,0.00,0.00
2,Calcinhas Gestante  e Pós Parto Cintura Alta Hot Pant Conforto Kit 3 e 5 ou unidade -  Dualis [2],Em Andamento,Anúncio de Produto Automático,58200137181,-,GMV Max - Meta de ROAS,Todos,15/11/2025 00:00:00,Ilimitado,88930,3120,3.51%,82,2.63%,120,119,3.85%,3.81%,3.60,3.63,125,124,3825.28,3809.38,432.03,8.85,8.82,11.29%,11.34%,-,-,-,0.00,0.00
3,Kit Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis [2],Em Andamento,Anúncio de Produto Automático,49856323351,-,GMV Max - Meta de ROAS,Todos,25/04/2026 00:00:00,Ilimitado,16162,452,2.80%,17,3.76%,24,24,5.31%,5.31%,3.23,3.23,24,24,732.60,732.60,77.58,9.44,9.44,10.59%,10.59%,-,-,-,0.00,0.00
4,Cinta Modeladora Alta Compressão Cós Duplo - Não Enrola Confortável | Dualis,Em Andamento,Anúncio de Produto Automático,58250148733,-,GMV Max - Meta de ROAS,Todos,31/10/2025 00:00:00,Ilimitado,5470,186,3.40%,16,8.60%,4,4,2.15%,2.15%,1.97,1.97,4,4,79.20,79.20,7.87,10.06,10.06,9.94%,9.94%,-,-,-,0.00,0.00
5,Calcinha Cinta Alta Galena | Unidade ou Kit 2 Peças | Modeladora Redutora Pós Parto Dualis,Em Andamento,Anúncio de Produto Automático,22299182538,-,GMV Max - Meta de ROAS,Todos,08/11/2025 00:00:00,Ilimitado,3541,158,4.46%,5,3.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,24.31,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
6,Kit Calcinha Sortida M ao 48 Cós Alto Pala Dupla Plus Size ajuste perfeito lingerie para o dia a dia,Em Andamento,Anúncio de Produto Automático,49156318507,-,GMV Max - Meta de ROAS,Todos,20/02/2026 00:00:00,Ilimitado,686,8,1.17%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.39,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
