Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,dualis.lingerie
Nome da loja,Dualis Lingerie
ID da Loja,1655426347
Data de Criação do Relatório,30/08/2026 21:13
Período,01/05/2026 - 31/05/2026

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Adicionar ao carrinho,Taxa de adição ao carrinho,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto,Voucher Amount,Vouchered Sales
1,GMV Max da Loja,Em Andamento,,-,-,Lance automático do GMV Max da Loja,Todos,10/04/2026 00:00:00,Ilimitado,28680,972,3.39%,-,-,19,19,1.95%,1.95%,5.47,5.47,22,22,474.59,474.59,103.95,4.57,4.57,21.90%,21.90%,-,-,-,0.00,0.00
2,Calcinhas Gestante  e Pós Parto Cintura Alta Hot Pant Conforto Kit 3 e 5 ou unidade -  Dualis [2],Em Andamento,Anúncio de Produto Automático,58200137181,-,GMV Max - Meta de ROAS,Todos,15/11/2025 00:00:00,Ilimitado,155052,5597,3.61%,5,0.09%,161,158,2.88%,2.82%,3.66,3.73,165,160,5374.33,5235.78,589.99,9.11,8.87,10.98%,11.27%,-,-,-,0.00,0.00
3,Kit Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis [2],Em Andamento,Anúncio de Produto Automático,49856323351,-,GMV Max - Meta de ROAS,Todos,25/04/2026 00:00:00,Ilimitado,22917,640,2.79%,0,0.00%,35,33,5.47%,5.16%,2.78,2.95,36,34,1153.60,1109.70,97.24,11.86,11.41,8.43%,8.76%,-,-,-,0.00,0.00
4,Calcinha Cinta Alta Galena | Unidade ou Kit 2 Peças | Modeladora Redutora Pós Parto Dualis,Em Andamento,Anúncio de Produto Automático,22299182538,-,GMV Max - Meta de ROAS,Todos,08/11/2025 00:00:00,Ilimitado,5538,269,4.86%,0,0.00%,1,1,0.37%,0.37%,29.82,29.82,1,1,29.90,29.90,29.82,1.00,1.00,99.75%,99.75%,-,-,-,0.00,0.00
5,Cinta Modeladora Alta Compressão Cós - Duplo Dualis [2],Pausado,Anúncio de Produto Automático,44909961285,-,GMV Max - Meta de ROAS,Todos,05/05/2026 00:00:00,Ilimitado,13606,276,2.03%,2,0.72%,4,4,1.45%,1.45%,11.02,11.02,4,4,138.80,138.80,44.08,3.15,3.15,31.76%,31.76%,-,-,-,0.00,0.00
6,Calcinha Pala Dupla Cintura Alta Dualis | Unidade ou Kit 3 e 5 | Modeladora Conforto [3],Pausado,Anúncio de Produto Automático,23999125204,-,GMV Max - Meta de ROAS,Todos,21/05/2026 00:00:00,Ilimitado,6739,235,3.49%,0,0.00%,4,4,1.70%,1.70%,22.92,22.92,4,4,124.88,124.88,91.68,1.36,1.36,73.42%,73.42%,-,-,-,0.00,0.00
7,PROMO Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis AFL [2],Pausado,Anúncio de Produto Automático,45456650306,-,GMV Max - Meta de ROAS,Todos,10/03/2026 00:00:00,Ilimitado,380,10,2.63%,0,0.00%,1,1,10.00%,10.00%,0.42,0.42,1,1,15.00,15.00,0.42,36.07,36.07,2.77%,2.77%,-,-,-,0.00,0.00
8,Cinta Modeladora Alta Compressão Cós Duplo - Não Enrola Confortável | Dualis [2],Encerrado,Anúncio de Produto Automático,58250148733,-,GMV Max - Meta de ROAS,Todos,21/05/2026 00:00:00,13/06/2026 07:34:13,7030,251,3.57%,2,0.80%,3,3,1.20%,1.20%,11.68,11.68,3,3,59.60,59.60,35.05,1.70,1.70,58.81%,58.81%,-,-,-,0.00,0.00
