Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,dualis.lingerie
Nome da loja,Dualis Lingerie
ID da Loja,1655426347
Data de Criação do Relatório,30/08/2026 21:15
Período,01/03/2026 - 31/03/2026

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Adicionar ao carrinho,Taxa de adição ao carrinho,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto,Voucher Amount,Vouchered Sales
1,"Kit 3 ou 5 Peças | Calcinha Tanga Fio Dental | Conforto, Leveza e  Discreta",Encerrado,Anúncio de Produto Automático,58201727770,-,GMV Max - Meta de ROAS,Todos,09/12/2025 00:00:00,Ilimitado,19186,445,2.32%,0,0.00%,14,14,3.15%,3.15%,2.76,2.76,15,15,229.50,229.50,38.66,5.94,5.94,16.85%,16.85%,-,-,-,0.00,0.00
2,Calcinha Sem Costura Dualis-Kit 5 e 10 Peças | Não Marca na Roupa | Invisível | Conforto e Segurança,Encerrado,Anúncio de Produto Automático,51404407741,-,GMV Max - Meta de ROAS,Todos,09/01/2026 00:00:00,Ilimitado,2593,45,1.74%,0,0.00%,2,2,4.44%,4.44%,6.95,6.95,2,2,79.80,79.80,13.91,5.74,5.74,17.43%,17.43%,-,-,-,0.00,0.00
3,Calcinhas Gestante  e Pós Parto Cintura Alta Hot Pant Conforto Kit 3 e 5 ou unidade -  Dualis [2],Em Andamento,Anúncio de Produto Automático,58200137181,-,GMV Max - Meta de ROAS,Todos,15/11/2025 00:00:00,Ilimitado,282899,10828,3.83%,0,0.00%,510,508,4.71%,4.69%,1.79,1.79,517,515,14961.07,14896.93,911.42,16.42,16.34,6.09%,6.12%,-,-,-,0.00,0.00
4,Calcinha Cinta Alta Galena | Unidade ou Kit 2 Peças | Modeladora Redutora Pós Parto Dualis,Em Andamento,Anúncio de Produto Automático,22299182538,-,GMV Max - Meta de ROAS,Todos,08/11/2025 00:00:00,Ilimitado,47746,2361,4.94%,0,0.00%,57,57,2.41%,2.41%,3.03,3.03,60,60,1250.60,1250.60,172.76,7.24,7.24,13.81%,13.81%,-,-,-,0.00,0.00
5,Kit Calcinha Sortida M ao 48 Cós Alto Pala Dupla Plus Size ajuste perfeito lingerie para o dia a dia,Em Andamento,Anúncio de Produto Automático,49156318507,-,GMV Max - Meta de ROAS,Todos,20/02/2026 00:00:00,Ilimitado,6489,86,1.33%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,23.67,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
6,Cinta Modeladora Alta Compressão Cós Duplo - Não Enrola Confortável | Dualis,Em Andamento,Anúncio de Produto Automático,58250148733,-,GMV Max - Meta de ROAS,Todos,31/10/2025 00:00:00,Ilimitado,4413,147,3.33%,0,0.00%,2,2,1.36%,1.36%,4.48,4.48,2,2,39.20,39.20,8.96,4.38,4.38,22.85%,22.85%,-,-,-,0.00,0.00
7,PROMO Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis AFL [2],Pausado,Anúncio de Produto Automático,45456650306,-,GMV Max - Meta de ROAS,Todos,10/03/2026 00:00:00,Ilimitado,12913,396,3.07%,0,0.00%,5,3,1.26%,0.76%,6.47,10.79,5,3,93.72,43.74,32.36,2.90,1.35,34.53%,73.98%,-,-,-,0.00,0.00
8,Calcinha Cinta Tanga Modeladora Cós Alto | Compressão e Conforto | Opção Unidade ou Kit 3 e 5 peças,Pausado,Anúncio de Produto Automático,48806367700,-,GMV Max - Meta de ROAS,Todos,24/02/2026 00:00:00,Ilimitado,10452,178,1.70%,0,0.00%,3,3,1.69%,1.69%,11.47,11.47,3,3,63.95,63.95,34.42,1.86,1.86,53.82%,53.82%,-,-,-,0.00,0.00
9,PROMO Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis AFL,Encerrado,Anúncio de Produto Automático,45456650306,-,"Fase 1: GMV Max - Lances Automáticos, Fase 2: GMV Max - Lances Automáticos",Todos,04/03/2026 00:00:00,13/06/2026 07:35:11,5058,188,3.72%,0,0.00%,1,1,0.53%,0.53%,61.89,61.89,2,2,30.00,30.00,61.89,0.48,0.48,206.29%,206.29%,-,-,-,0.00,0.00
