Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,dualis.lingerie
Nome da loja,Dualis Lingerie
ID da Loja,1655426347
Data de Criação do Relatório,30/08/2026 21:13
Período,01/07/2026 - 31/07/2026

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Adicionar ao carrinho,Taxa de adição ao carrinho,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto,Voucher Amount,Vouchered Sales
1,GMV Max da Loja,Em Andamento,,-,-,Lance automático do GMV Max da Loja,Todos,10/04/2026 00:00:00,Ilimitado,73441,1799,2.45%,-,-,35,34,1.95%,1.89%,2.08,2.14,36,35,780.49,760.69,72.68,10.74,10.47,9.31%,9.55%,-,-,-,6.28,39.70
2,Calcinhas Gestante  e Pós Parto Cintura Alta Hot Pant Conforto Kit 3 e 5 ou unidade -  Dualis [2],Em Andamento,Anúncio de Produto Automático,58200137181,-,GMV Max - Meta de ROAS,Todos,15/11/2025 00:00:00,Ilimitado,301974,10027,3.32%,222,2.21%,366,365,3.65%,3.64%,3.74,3.75,389,388,11178.53,11153.63,1369.43,8.16,8.14,12.25%,12.28%,-,-,-,0.00,0.00
3,Kit Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis [2],Em Andamento,Anúncio de Produto Automático,49856323351,-,GMV Max - Meta de ROAS,Todos,25/04/2026 00:00:00,Ilimitado,95098,2740,2.88%,196,7.15%,110,110,4.01%,4.01%,4.04,4.04,111,111,3548.90,3548.90,444.83,7.98,7.98,12.53%,12.53%,-,-,-,0.00,0.00
4,Cinta Modeladora Alta Compressão Cós Duplo - Não Enrola Confortável | Dualis,Em Andamento,Anúncio de Produto Automático,58250148733,-,GMV Max - Meta de ROAS,Todos,31/10/2025 00:00:00,Ilimitado,12967,409,3.15%,15,3.67%,14,14,3.42%,3.42%,1.87,1.87,15,15,297.40,297.40,26.23,11.34,11.34,8.82%,8.82%,-,-,-,0.00,0.00
5,Kit Calcinha Sortida M ao 48 Cós Alto Pala Dupla Plus Size ajuste perfeito lingerie para o dia a dia,Em Andamento,Anúncio de Produto Automático,49156318507,-,GMV Max - Meta de ROAS,Todos,20/02/2026 00:00:00,Ilimitado,11769,276,2.35%,5,1.81%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,64.27,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
6,Calcinha Cinta Alta Galena | Unidade ou Kit 2 Peças | Modeladora Redutora Pós Parto Dualis,Em Andamento,Anúncio de Produto Automático,22299182538,-,GMV Max - Meta de ROAS,Todos,08/11/2025 00:00:00,Ilimitado,4305,189,4.39%,5,2.65%,7,7,3.70%,3.70%,3.80,3.80,7,7,124.50,124.50,26.58,4.68,4.68,21.35%,21.35%,-,-,-,0.00,0.00
