Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,dualis.lingerie
Nome da loja,Dualis Lingerie
ID da Loja,1655426347
Data de Criação do Relatório,30/08/2026 21:14
Período,01/04/2026 - 30/04/2026

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Adicionar ao carrinho,Taxa de adição ao carrinho,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto,Voucher Amount,Vouchered Sales
1,GMV Max da Loja,Em Andamento,,-,-,Lance automático do GMV Max da Loja,Todos,10/04/2026 00:00:00,Ilimitado,19640,485,2.47%,-,-,20,20,4.12%,4.12%,2.79,2.79,20,20,517.17,517.17,55.75,9.28,9.28,10.78%,10.78%,-,-,-,0.00,0.00
2,Calcinha Sem Costura Dualis-Kit 5 e 10 Peças | Não Marca na Roupa | Invisível | Conforto e Segurança,Encerrado,Anúncio de Produto Automático,51404407741,-,GMV Max - Meta de ROAS,Todos,09/01/2026 00:00:00,Ilimitado,1314,21,1.60%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.44,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
3,Calcinhas Gestante  e Pós Parto Cintura Alta Hot Pant Conforto Kit 3 e 5 ou unidade -  Dualis [2],Em Andamento,Anúncio de Produto Automático,58200137181,-,GMV Max - Meta de ROAS,Todos,15/11/2025 00:00:00,Ilimitado,302541,11487,3.80%,0,0.00%,502,500,4.37%,4.35%,1.99,2.00,513,511,14317.66,14261.11,997.70,14.35,14.29,6.97%,7.00%,-,-,-,0.00,0.00
4,Calcinha Cinta Alta Galena | Unidade ou Kit 2 Peças | Modeladora Redutora Pós Parto Dualis,Em Andamento,Anúncio de Produto Automático,22299182538,-,GMV Max - Meta de ROAS,Todos,08/11/2025 00:00:00,Ilimitado,17139,937,5.47%,0,0.00%,17,17,1.81%,1.81%,2.49,2.49,18,18,387.46,387.46,42.32,9.15,9.15,10.92%,10.92%,-,-,-,0.00,0.00
5,Kit Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis [2],Em Andamento,Anúncio de Produto Automático,49856323351,-,GMV Max - Meta de ROAS,Todos,25/04/2026 00:00:00,Ilimitado,5705,133,2.33%,0,0.00%,5,4,3.76%,3.01%,4.80,6.00,5,4,153.94,118.95,23.99,6.42,4.96,15.59%,20.17%,-,-,-,0.00,0.00
6,Cinta Modeladora Alta Compressão Cós Duplo - Não Enrola Confortável | Dualis,Em Andamento,Anúncio de Produto Automático,58250148733,-,GMV Max - Meta de ROAS,Todos,31/10/2025 00:00:00,Ilimitado,195,4,2.05%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.20,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
7,Kit Calcinha Sortida M ao 48 Cós Alto Pala Dupla Plus Size ajuste perfeito lingerie para o dia a dia,Em Andamento,Anúncio de Produto Automático,49156318507,-,GMV Max - Meta de ROAS,Todos,20/02/2026 00:00:00,Ilimitado,184,9,4.89%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.06,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
8,Calcinha Cinta Tanga Modeladora Cós Alto | Compressão e Conforto | Opção Unidade ou Kit 3 e 5 peças,Pausado,Anúncio de Produto Automático,48806367700,-,GMV Max - Meta de ROAS,Todos,24/02/2026 00:00:00,Ilimitado,1597,33,2.07%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.04,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
9,PROMO Calcinha Gestante  e Pós Parto Cintura Alta Hot Pant Conforto -  Dualis AFL [2],Pausado,Anúncio de Produto Automático,45456650306,-,GMV Max - Meta de ROAS,Todos,10/03/2026 00:00:00,Ilimitado,1092,27,2.47%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.05,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
